Iteration[0]:	-0.000117717423034x	[0.0001, 0.0001, 0.0001, 0.0001]
Iteration[4000]:	-0.000135783909607x	[0.0001, 2.7020351031963386, 3.2842594260905233, 0.0001]
Iteration[1000]:	-9.80344613477e-05x	[0.0001, 0.5053465958295682, 0.5150274608831209, 0.0001]
Iteration[8000]:	-0.000116481295006x	[1.8084177346303825, 3.6182233698318562, 3.2842594260905233, 0.0001]
Iteration[6000]:	-0.00011476973312x	[3.2807154927953559, 3.8927088274271959, 3.2842594260905233, 0.0001]
Iteration[13000]:	-0.000110490828405x	[4.0581361875273414, 6.626264038297955, 3.6463850518837031, 0.0001]
Iteration[11000]:	-0.000121901240977x	[3.8168293181180113, 6.626264038297955, 3.2842594260905233, 0.0001]
Iteration[9000]:	-0.000104975795662x	[2.4933429827037243, 6.5574766983118149, 3.2842594260905233, 0.0001]
Iteration[2000]:	-8.81454371186e-05x	[1.209688166758613, 2.2200027534249971, 2.3678757002533066, 0.0001]
Iteration[5000]:	-8.99520857759e-05x	[3.2807154927953559, 3.8927088274271959, 3.2842594260905233, 0.0001]
Iteration[7000]:	-0.000130173790092x	[3.2807154927953559, 3.8927088274271959, 3.2842594260905233, 0.0001]
Iteration[3000]:	-0.000127796620806x	[1.209688166758613, 2.2200027534249971, 2.3678757002533066, 0.0001]
Iteration[12000]:	-0.000116386208234x	[4.0581361875273414, 6.626264038297955, 3.6463850518837031, 0.0001]
Iteration[10000]:	-0.00011410412572x	[2.4933429827037243, 6.5574766983118149, 3.2842594260905233, 0.0001]
